252610,Death Road to Canada,14.99,14.99,2016-07-21,3964|42804|1659|3841|19|1662|171
943370,Bravery and Greed,19.99,19.99,2022-11-15,3859|3959|1646|4158|42804|19|171
2304670,Ash of Gods: The Way Prologue,0.00,0.00,2023-03-09,14139|32322|1742|1708|791774|6426|432
1968730,Bounty of One,4.99,4.99,2022-08-18,493|4637|5547|122|5154|4305|418
1227280,Despot's Game: Dystopian Battle Simulator,19.99,19.99,2022-09-29,1084988|3964|1708|1716|492|122|387
787810,Rogue Heroes: Ruins of Tasos,19.99,19.99,2021-02-23,1685|122|19|21|3964|1716|395
293780,Crawl,14.99,14.99,2017-04-11,3964|1720|7368|42804|4840|492|384
1679220,Portal Dungeon,12.99,11.69,2022-12-14,42804|3859|1716|3964|3843|6730|1
1138660,Black Book,24.99,12.49,2021-08-10,791774|14139|1720|1666|3959|1677|720
1040420,Dreamscaper,24.99,24.99,2021-08-05,42804|19|3959|492|122|1720|418
601840,Griftlands,19.99,19.99,2021-06-01,791774|3959|32322|122|6426|1677|174
1968630,Stories from the Outbreak,0.00,0.00,2023-03-27,493|1759|1662|1659|10695|4434|171
757320,Atomicrops,14.99,14.99,2020-09-17,19|492|87918|1716|4885|42804|395
1618380,Spellmasons,19.99,19.99,2023-01-31,9|1741|492|3964|3843|14139|170
688420,Bad North: Jotunn Edition,14.99,14.99,2018-11-16,3813|4094|3959|1645|9|4726|167
1724390,Power Chord,19.99,19.99,2023-01-26,1091588|32322|3959|4325|1666|1720|171
1416050,Shovel Knight Dig,24.99,24.99,2022-09-23,42804|4106|3871|1716|4726|4136|1
913740,WORLD OF HORROR,14.99,14.99,2020-02-20,493|1667|3978|7432|1698|3959|172
113200,The Binding of Isaac,4.99,4.99,2011-09-28,42804|1716|492|4711|4026|5125|434
1619570,Death Roads: Tournament,0.00,0.00,2023-03-28,493|9|4325|1091588|1666|699|49
2060750,Star Survivor,4.99,4.99,2023-03-02,493|1755|4182|4191|42804|4758|1
1375900,Swarm Grinder,0.00,0.00,2023-04-13,597|42804|3964|19|1773|4004|395
1135810,Vault of the Void,17.99,13.49,2022-10-04,492|1091588|32322|6426|9|791774|166
456670,Hand of Fate 2,29.99,29.99,2017-11-07,122|1666|1091588|19|32322|3959|49
857980,Void Bastards,29.99,29.99,2019-05-28,1663|42804|4182|1774|1716|9204|168
2190400,Toads of the Bayou,0.00,0.00,2024-12-31,1091588|4325|14139|7569|8945|4328|460
2096510,The Ouroboros King,9.99,9.99,2023-02-27,9|1716|1741|492|4184|3959|1413
1946970,Isle of Arrows,12.99,10.39,2022-09-08,1645|1716|1664|1770|9|4094|642
2067920,Rogue: Genesia,4.99,4.99,2022-09-19,493|4885|42804|3959|122|19|396
1835240,Spiritfall,0.00,0.00,2023-04-03,42804|5379|3959|4026|1646|4736|174
290470,Onigiri,0.00,0.00,2019-03-28,113|4085|122|1754|128|21|1
259680,Tales of Maj'Eyal,6.99,6.99,2016-02-23,454187|1716|1720|1759|1677|4026|12
1707650,Swords and Sandals Immortals,9.99,9.99,2023-03-09,122|1716|3959|6915|4325|1741|1730
2023360,The Last Case of Benedict Fox,0.00,0.00,2023-04-27,4166|122|42804|1628|922563|1646|395
1883260,Little Noah: Scion of Paradise,14.99,14.99,2022-06-28,42804|3959|122|4231|6730|7208|472
358130,Curious Expedition,14.99,2.99,2016-09-02,3834|1716|3964|1741|7432|5160|177
1534980,Terminus: Zombie Survivors,15.99,12.79,2021-03-01,493|1662|1716|1741|1659|1100689|12
2099220,Mobmania,4.99,4.99,2022-08-18,42804|4885|3871|3959|597|19|396
1304680,Voidigo,14.99,14.99,2021-02-25,493|42804|4637|4885|5125|3834|396
1714240,Soul Stalker,0.00,0.00,2023-12-31,42804|3959|4885|4004|3871|4791|1
249050,Dungeon of the ENDLESS™,11.99,11.99,2014-10-27,1716|9|1645|3964|492|122|394
1710100,Bing in Wonderland,8.99,8.99,2023-01-12,1646|42804|3959|4106|4711|1720|1
541200,GTTOD: Get To The Orange Door,14.99,14.99,2017-10-27,493|1663|4036|19|1774|3839|173
1402320,Medal of Honor™: Above and Beyond  VR Only,39.99,39.99,2020-12-10,19|21978|4182|4150|3839|4684|167
1299620,Fabled Lands,18.99,18.99,2022-05-26,4474|4486|122|3959|1695|11014|387
1043260,Gladiator Guild Manager,9.99,9.99,2021-10-13,1084988|9|17305|3959|1708|1716|12
276890,FATE: Undiscovered Realms,7.99,7.99,2014-04-17,122|19|21|1720|4231|1646|423
722730,Cogmind,19.99,19.99,2017-10-16,493|454187|4166|1716|1677|1720|174
1711610,Dungeon 100,11.99,11.99,2022-11-25,17305|1084988|32322|1716|1759|9|12
2198030,Iron Mandate,0.00,0.00,2023-03-11,493|21|1716|19|3871|5363|409
254320,Duskers,19.99,19.99,2016-05-18,3834|1674|3813|3959|1755|1664|543
598060,Slasher's Keep,13.99,13.99,2020-11-19,42804|1720|3839|122|19|492|395
659540,Warsim: The Realm of Aslona,9.99,9.99,2022-12-20,31275|599|122|9|492|5125|171
2181720,Scarlet Tower,4.99,4.99,2022-10-31,493|4018|42804|3964|4604|1716|488
2184150,Dead Matter,0.00,0.00,2023-06-01,19|599|42804|3834|1663|9204|383
241600,Rogue Legacy,14.99,14.99,2013-06-27,922563|1625|1716|492|42804|19|418
554000,Crypt of the NecroDancer: AMPLIFIED,6.99,6.99,2017-01-24,492|19|122|1716|1752|1756|396
320040,Moon Hunters,14.99,14.99,2016-03-10,1654|3959|42804|1646|1720|3834|535
1479880,Role of Hex,9.99,9.99,2023-02-20,1716|1645|5125|3834|6730|3942|110068
651670,Star Renegades,24.99,24.99,2020-09-08,1716|3964|1677|4182|4434|3959|2172
753420,Dungreed,9.99,9.99,2018-02-14,42804|3964|3959|1716|19|492|387
1129310,Receiver 2,19.99,19.99,2020-04-14,1663|599|1774|3839|4166|492|1
440650,Niche - a genetics survival game,17.99,17.99,2017-09-21,1741|1677|30358|3810|1036|3834|894
656350,UnderMine,19.99,19.99,2020-08-06,42804|3959|3964|1720|122|19|49
702540,Darkest Dungeon®: The Shieldbreaker,3.99,3.99,2017-10-26,492|9|122|7250|5984|6378|537
735730,Darkest Dungeon®: The Color Of Madness,4.99,4.99,2018-06-19,9|492|122|7432|402
1493520,Beat Hazard 3,18.99,18.99,2022-11-14,493|1752|1621|19|1716|8253|49
1037020,ScourgeBringer,16.99,16.99,2020-10-21,492|19|21|3959|3964|42804|171
2085540,Stick It to the Stickman,0.00,0.00,2023-12-31,19|4158|4736|1625|5379|4777|387
1319550,Power of Ten,11.99,11.99,2023-01-11,1755|3959|4637|4291|42804|1759|394
596970,Sunless Skies: Sovereign Edition,24.99,24.99,2019-01-31,1777|7432|3834|122|1742|4182|479
303690,FATE: The Cursed King,7.99,7.99,2014-11-19,122|21|19|1720|4182|1646|423
1891700,Tap Ninja - Idle game,0.00,0.00,2022-03-17,379975|597|615955|1688|3964|5652|387
1625450,Muck,0.00,0.00,2021-06-05,1662|1702|3859|1643|1716|1695|383
1952540,Voltaire: The Vegan Vampire,14.99,14.99,2023-02-27,493|1685|122|42804|1645|87918|59
2088160,天外武林 (Traveler of Wuxia),24.99,24.99,2023-01-05,1716|32322|1666|122|6915|791774|
603960,Monolith,7.99,7.99,2017-06-07,3959|42804|4885|492|4255|3964|1
1154810,Going Under,19.99,19.99,2020-09-24,42804|1720|4158|1646|3959|7208|2948
1010820,Barony: Myths & Outcasts,3.99,3.99,2019-02-22,19|21|122|492|4667|1209
1949190,Necrosmith,2.99,2.99,2022-07-13,42804|4885|3959|1645|1716|9|387
264140,Pixel Piracy,14.99,14.99,2014-07-31,1681|42804|4994|3964|492|122|381
1159560,Ziggurat 2,24.99,24.99,2021-10-28,19|1716|1774|42804|5547|1720|166
807120,Iratus: Lord of the Dead,29.99,29.99,2020-04-23,122|9|492|4325|1716|4604|395
845890,Moonbreaker,29.99,29.99,2022-09-29,493|9|1741|3878|3859|4182|177
396750,EVERSPACE™  VR Supported,19.99,19.99,2017-05-25,1755|42804|19|492|3942|16598|395
1464220,Netherguild,0.00,0.00,2023-03-27,4325|1720|3959|122|9|1732|402
1305300,Love Love School Days,5.99,5.99,2023-02-06,4726|9551|42804|1716|3834|1667|166
1137460,ALTF4,2.99,2.99,2021-11-12,4182|4191|8666|3968|1662|5395|417
296710,Monstrum  VR Supported,17.99,17.99,2015-05-20,1667|42804|3978|492|3839|1716|166
404250,Tales of Maj'Eyal - Embers of Rage,6.99,6.99,2016-02-23,21|122|492|171
2216960,Super Psycho Baseball,4.99,4.99,2022-12-19,701|5727|1716|4136|1773|42804|456
1056840,Arcanium: Rise of Akhan,24.99,24.99,2022-09-21,1091588|791774|9271|3959|1741|1716|
1606340,Conquest of Elysium 5,29.99,29.99,2021-08-17,9|1741|1684|1670|4057|1716|383
674930,Boyfriend Dungeon,19.99,19.99,2021-08-11,1719|1742|42804|3959|492|9551|1
2132430,XXX_CYBERRAT_XXX,5.99,5.99,2023-02-20,1667|5502|5186|4342|599|1742|
1638390,Indies' Lies,14.99,14.99,2023-01-15,32322|791774|4325|14139|1666|3959|45418
1010821,Barony: Legends & Pariahs,3.99,3.99,2019-12-27,19|21|122|492|4667|1209
2024230,Project Lazarus,4.99,4.99,2022-06-23,42804|19|4885|597|1773|4191|748
1245430,Golden Light,19.99,19.99,2022-03-11,19|4191|4182|1687|5125|3916|177
2084000,Shogun Showdown,0.00,0.00,2023-06-01,9|1716|1677|32322|3964|1091588|432
2116260,Relic Dudes,4.99,4.99,2023-02-03,3843|3959|4885|19|1716|42804|387
1840710,These Doomed Isles,0.00,0.00,2023-06-01,599|4182|4328|14139|1091588|220585|164
1315610,Source of Madness,19.99,19.99,2022-05-11,7432|3959|19|4231|29482|4057|387
1016790,West of Dead,19.99,19.99,2020-06-18,4711|1716|3959|1667|4026|1647|165
1260810,Touhou Blooming Chaos 2,5.99,3.41,2021-06-24,21|19|492|122|180368|4885|408
1146420,Relic Space,17.99,17.99,2023-03-09,493|21725|1755|7569|454187|1695|413
333300,ADOM (Ancient Domains Of Mystery),14.99,14.99,2015-11-16,454187|4474|1720|1759|1677|4026|171
640340,Serious Sam: Tormental,11.99,11.99,2022-04-08,19|42804|492|4885|3959|4637|475
1641240,Hero's Quest,3.99,3.99,2023-03-16,3834|3959|6730|1084988|1716|122|387
1323470,GetsuFumaDen: Undying Moon,24.99,24.99,2022-02-16,1716|1646|4166|4026|42804|4711|794
475960,Bombslinger,11.99,11.99,2018-04-11,19|42804|492|21|3964|4840|736
2269320,Natti,7.99,7.99,2023-02-15,493|1645|1716|597|9|492|402
853450,Nevergrind Online,11.99,11.99,2022-06-09,493|122|5711|3843|3859|1716|416
1918040,Army of Ruin,5.99,5.99,2022-10-27,4885|3959|4791|4255|597|4191|4280
1142080,Pawnbarian,9.99,9.99,2021-09-24,1716|3959|9|1666|791774|14139|418
1260590,Hadean Tactics,17.99,17.99,2021-02-25,791774|1084988|1716|1666|1091588|1720|3232
2247820,Rogue Station,9.99,9.99,2023-01-26,9|3959|1759|1716|1755|1708|387
496300,Kingdom: New Lands,14.99,14.99,2016-08-09,3834|3798|220585|1645|1643|1662|417
1494260,Loot River,24.99,24.99,2022-05-03,4026|42804|29482|1720|3959|122|173
685400,Skelly Selest,4.99,4.99,2018-05-01,42804|3959|492|1716|19|3964|164
638130,Sweet Surrender VR  VR Only,24.99,24.99,2021-09-30,42804|1663|3959|9204|1774|21978|171
605450,In Death  VR Only,29.99,29.99,2018-10-02,21978|19|492|3959|42804|1667|177
2146180,Cyclo Chambers,4.99,4.99,2023-02-21,42804|4758|4885|3959|1773|4637|554
1648880,Children of Morta: Ancient Spirits,4.99,4.99,2021-10-07,19|21|122|492|395
1930600,Beautiful Mystic Survivors,4.99,4.99,2022-10-14,493|42804|4885|4255|3959|597|1
1931240,MOTHERGUNSHIP: FORGE  VR Only,19.99,19.99,2022-06-16,19|3959|21978|1774|1716|4885|166
360740,Downwell,2.99,2.99,2015-10-15,3877|42804|492|3964|1625|19|537
628770,Tangledeep,14.99,14.99,2018-02-01,454187|14139|198631|1720|4026|1677|171
288120,Dungeonmans,14.99,14.99,2014-12-09,454187|1716|7569|122|492|1677|
1124080,Active DBG: Brave's Rage,17.99,17.99,2023-02-01,1091588|1716|32322|791774|1666|3813|579
1385100,Insurmountable,24.99,24.99,2021-04-29,9|21|1716|4182|492|14139|894
1184820,Poker Quest: Swords and Spades,14.99,14.99,2022-11-14,1091588|791774|4172|1666|9|492|12
1811990,Wildfrost,0.00,0.00,2023-03-01,1091588|791774|4026|1666|3959|14139|171
1389360,Mech Armada,19.99,19.99,2022-06-16,3959|4821|14139|9|4747|5125|383
588950,Kingsway,9.99,9.99,2017-07-18,122|21|1716|599|3964|4004|49
566860,VR Dungeon Knight  VR Only,19.99,19.99,2017-04-24,122|21|19|21978|492|493|172
2135150,Elin,0.00,0.00,2023-12-31,493|4747|454187|1695|1716|3859|443
266510,Hand of Fate,19.99,19.99,2015-02-17,1091588|1716|32322|42804|1666|122|418
712190,Genesis Alpha One Deluxe Edition,19.99,19.99,2020-02-25,3942|42804|1663|7332|3959|1695|166
986040,The Unliving,16.99,16.99,2022-11-07,493|122|19|4182|21|1659|164
551620,Approaching Infinity,14.99,14.99,2020-08-05,493|454187|3942|3834|1695|5125|2
1059980,Just King,3.99,3.99,2022-07-21,3959|5547|1708|1084988|9|1716|3232
1638440,Gatedelvers,14.99,14.99,2023-02-20,493|42804|3843|4155|1720|5125|171
